SampleID,SampleType,Donor,Gravity,Time,Replicate,TotalReads,Bacteroides,Prevotella,Faecalibacterium,Roseburia,Blautia,Agathobacter,Subdoligranulum,Ruminococcus,Ruminococcus_gnavus_group,Ruminococcaceae_UCG-002,Ruminococcaceae_UCG-005,Ruminococcaceae_NK4A214_group,Lachnospira,Lachnospiraceae_NK4A136_group,Lachnospiraceae_UCG-001,Lachnospiraceae_UCG-004,Lachnoclostridium,Eubacterium_hallii_group,Eubacterium_eligens_group,Eubacterium_coprostanoligenes_group,Coprococcus,Anaerostipes,Dorea,Fusicatenibacter,Butyricicoccus,Christensenellaceae_R-7_group,Oscillibacter,Dialister,Veillonella,Megamonas,Phascolarctobacterium,Parabacteroides,Alistipes,Barnesiella,Odoribacter,Butyricimonas,Bilophila,Desulfovibrio,Sutterella,Parasutterella,Akkermansia,Bifidobacterium,Collinsella,Eggerthella,Enterococcus,Streptococcus,Lactobacillus,Enterobacter,Escherichia_Shigella,Klebsiella,Citrobacter,Clostridium_sensu_stricto_1,Clostridioides,Peptostreptococcus,Finegoldia,Paraprevotella,Romboutsia,Turicibacter,Holdemanella,Intestinibacter,Catenibacterium,Anaerotruncus,Parvimonas,Fusobacterium,Haemophilus,Campylobacter,Helicobacter,Methanobrevibacter,Anaerococcus,Porphyromonas,Alloprevotella,Granulicatella,Actinomyces,Bacillus,Staphylococcus,Corynebacterium,Pseudomonas,Acinetobacter,Enterocloster,Flavonifractor,Butyrivibrio,Clostridiales_vadinBB60_group,Family_XIII_AD3011_group,Monoglobus,Bacteroidetes_unclassified,Firmicutes_unclassified,Lachnospiraceae_unclassified,Ruminococcaceae_unclassified,Bacteroidales_unclassified,Proteobacteria_unclassified,Actinobacteria_unclassified,Verrucomicrobia_unclassified,Erysipelotrichaceae_UCG-003,Erysipelotrichaceae_UCG-006,Erysipelatoclostridium,Senegalimassilia,Slackia,Gordonibacter,Anaerobutyricum,Coprobacter,Murimonas,Anaerofustis,Pseudoflavonifractor,Oscillospira,Anaeroplasma,UCG-010,UCG-014,UCG-003,UCG-009,UCG-013,UCG-007,Rikenellaceae_RC9_gut_group,Candidatus_Saccharimonas,Mitsuokella,Succinivibrio,Succiniclasticum,Victivallis,Anaerovorax,Howardella,Butyricimonas_group
D1,baseline,1,baseline,0h,0,30527,0.382350050774724,0.0,0.10646313099878796,0.055295312346447405,0.06787434074753497,0.030170013430733448,0.02738559308153438,0.015920332820126445,0.012841091492776886,0.0,0.0,0.014741048907524486,0.0,0.0024568414845874144,0.0,0.000753431388606807,0.0011465260261407934,0.0009172208209126347,0.0005896419563009795,0.0,0.003374062305500049,0.000687915615684476,0.0,0.0,0.005536082811936974,0.0,6.551577292233105e-05,0.0053067776067088155,0.0,0.0,0.004356798899335015,0.029089003177514988,0.05935729026763193,6.551577292233105e-05,0.0,0.0,0.005961935335932126,0.0007861892750679726,0.006617093065155436,0.0,0.01670652209519442,0.02905624529105382,0.004717135650407836,0.001506862777213614,0.00219477839289809,0.0036361253971893734,0.0010810102532184623,0.0,0.0037016411701117045,0.0,3.2757886461165525e-05,0.0,0.0,0.010122186916500147,9.827365938349657e-05,0.0,0.0,0.0012775575719854554,0.0010810102532184623,0.0020309889605922625,0.0,0.0,0.003111999213810725,0.0,0.0,0.0,0.002555115143970911,0.00016378943230582762,0.002227536279359256,0.0,0.0010810102532184623,0.0,0.0,0.0,0.00687915615684476,0.0,0.01713237461918957,0.002751662462737904,0.0,0.0,0.0017689258689029383,0.002227536279359256,0.0036033675107282077,0.0,0.00032757886461165525,0.00045861041045631735,6.551577292233105e-05,0.0018344416418252694,0.0,9.827365938349657e-05,9.827365938349657e-05,0.0,0.0,0.002227536279359256,0.010810102532184623,0.0,0.0,6.551577292233105e-05,0.003308546532577718,0.000556884069839814,0.001867199528286435,0.0018344416418252694,0.0041274936941068565,0.0003930946375339863,0.0,3.2757886461165525e-05,0.001932715301208766,0.001998231074131097,0.0,3.2757886461165525e-05,0.00045861041045631735,0.0027189045762767384,0.0,0.0,0.0,0.0,3.2757886461165525e-05,0.0,0.003865430602417532,0.0
D2,baseline,2,baseline,0h,0,34332,0.11432482814866597,0.34562507281836186,0.08578003029243854,0.04203075847605732,0.060992659909122685,0.0,0.0,0.016049166957940113,0.0,0.0002621461027612723,0.006611907258534312,0.0,0.0,2.9127344751252476e-05,2.9127344751252476e-05,0.0,0.0010485844110450892,0.003961318886170337,0.0,0.0013689852033088664,5.825468950250495e-05,0.004485611091692881,0.0008446929977863219,0.0,0.0,0.0001165093790050099,0.00020389141325876734,0.03632179890481184,0.03463241290923919,0.03638005359431434,0.019923103809856693,0.0,0.005330304089479203,0.00032040079226377724,0.0002621461027612723,0.00634976115577304,0.006408015845275544,0.0,0.007980892461843178,0.006320633811021787,0.009524641733659559,0.0009029476872888267,0.011330537108237212,0.005534195502737971,0.0004660375160200396,0.0009029476872888267,0.0006408015845275545,0.0001165093790050099,0.0015728766165676337,8.738203425375742e-05,0.0,0.0027379704066177327,0.0002621461027612723,0.005359431434230456,0.003844809507165327,0.019049283467319118,0.0,0.0,0.002301060235348946,0.001718513340323896,0.0,0.011825701969008505,2.9127344751252476e-05,0.0,0.0041069556099265995,0.0025049516486077127,0.0,0.0,0.002301060235348946,0.0013981125480601187,0.0002621461027612723,0.000611674239776302,0.0,0.0,0.012349994174531049,0.0,0.0,0.007660491669579401,0.001660258650821391,0.0050390306419666785,0.0,0.0015146219270651287,2.9127344751252476e-05,0.0,0.00020389141325876734,0.0,0.0,0.0,0.00305837119888151,0.00017476406850751484,0.0,0.004922521262961668,0.0009903297215425842,0.0,0.0016311313060701387,0.0016311313060701387,0.0,0.0,0.0,2.9127344751252476e-05,0.0010194570662938366,0.0,0.0,0.0010194570662938366,0.0015437492718163811,0.0,0.0005242922055225446,0.0003495281370150297,0.0,0.007223581498310614,0.0,0.005097285331469183,0.0,0.0014854945823138763,0.0014854945823138763,0.0,0.0,0.0,0.0011359664452988466,0.004776884539205406
D3,baseline,3,baseline,0h,0,39409,0.12078459235200081,0.004795858813976503,0.17338678981958436,0.05701743256616509,0.06940039077368114,0.04689284173665914,0.057195056966682735,0.1000532873201553,0.0,0.005607856073485752,0.0,0.0,0.006673602476591642,0.0015986196046588342,0.00421223578370423,0.0,0.006445228247354665,0.020249181659011902,0.0012179958892638738,0.0,0.0038316120683092696,0.015504072673754726,5.074982871932807e-05,0.0,0.0005582481159126088,0.029308026085411963,0.013499454439341268,0.008602095967926108,0.000735872516430257,0.0008373721738689132,0.0010911213174655536,0.009134969169479054,0.004668984242178183,0.0001268745717983202,0.0009388718313075693,0.0,0.006064604531959705,5.074982871932807e-05,0.01250983277931437,0.011088837575173184,0.04265523103859525,0.000761247430789921,0.004288360526783222,7.612474307899211e-05,0.0012179958892638738,0.002994239894440356,0.0009388718313075693,0.0017762440051764825,0.00553173133040676,0.00022837422923697632,0.0052272323580907915,0.0013956202897815219,0.0,0.002055368063132787,0.0003552488010352965,0.0012941206323428657,0.0017001192620974903,0.0006851226877109289,0.0008119972595092491,0.0019538684056941307,0.0013194955467025298,0.0,0.00020299931487731228,0.0017508690908168184,0.0025882412646857315,0.001497119947220178,0.001268745717983202,0.019843183029257278,0.002664366007764724,0.0008119972595092491,0.0004821233728336167,0.00015224948615798423,0.00015224948615798423,0.0005582481159126088,0.01339795478190261,0.0010911213174655536,0.0018269938338958105,0.0,0.00030449897231596846,0.0,0.006572102819152986,2.5374914359664035e-05,0.0,7.612474307899211e-05,0.0,0.0019031185769748027,0.0,0.0,0.0,0.0006851226877109289,0.0011418711461848817,0.01025146540130427,0.0,0.004034611383186582,0.0,0.004034611383186582,0.0016239945190184982,0.00020299931487731228,0.016874318049176586,2.5374914359664035e-05,0.0,0.0011418711461848817,0.005125732700652135,0.0,0.005607856073485752,0.002106117891852115,0.009769342028470653,0.0,0.0,0.00015224948615798423,0.0005836230302722729,0.005176482529371463,0.001497119947220178,2.5374914359664035e-05,0.0,0.0,0.0,0.00030449897231596846,0.00045674845847395263,0.0006089979446319369
G0g_T8h_D1_R1,culture,1,0g,8h,1,21028,0.49020353813962336,0.0,0.026108046414304736,0.005516454251474225,0.07908502948449686,0.010700019022256039,0.016073806353433518,0.004280007608902416,0.0013791135628685562,0.0,0.0,0.008655126498002663,0.0,0.00779912497622218,0.0,0.0,0.0,0.00019022256039566293,0.0,0.0,0.00038044512079132587,0.0,0.0,0.0,0.0009035571618793989,0.0,0.0,0.004422674529199163,0.0,0.0,0.0017120030435609664,0.02572760129351341,0.045272969374167776,0.0,0.0,0.0,0.00523112041088073,0.0,0.014789804070762792,0.0,0.005706676811869888,0.021685371885105574,0.00356667300741868,0.0,0.010224462621266882,0.009083127258892905,0.004708008369792657,0.0,0.0262982689747004,0.00033288948069241014,4.7555640098915734e-05,0.0,0.0,0.0020448925242533764,0.0,0.0,0.0,4.7555640098915734e-05,0.0,0.00014266692029674718,0.0,0.0,0.0004755564009891573,0.0,0.0,0.0,0.003852006848012174,0.0,0.007085790374738444,0.000713334601483736,0.0,0.00014266692029674718,0.0,0.0,0.021590260604907742,4.7555640098915734e-05,0.10333840593494388,0.007371124215331939,0.0,0.0,0.0,0.00019022256039566293,0.0013791135628685562,0.0,0.0,0.0004280007608902416,0.0008084458816815675,0.00023777820049457866,0.0,0.0,4.7555640098915734e-05,0.0,0.0,0.0,0.002282670724747955,0.0,0.0,0.0,9.511128019783147e-05,0.0,0.00028533384059349436,4.7555640098915734e-05,0.004755564009891573,0.0,0.0,0.0,0.00019022256039566293,0.0,0.0,0.0,0.0,0.007656458055925432,0.0,0.0,4.7555640098915734e-05,0.0,0.0,0.0,0.004612897089594826,0.0
G0g_T8h_D1_R2,culture,1,0g,8h,2,23148,0.4804734750302402,0.0,0.024840158977017454,0.024840158977017454,0.0893381717642993,0.007084845343010195,0.01006566442025229,0.004060825989286331,0.0038880248833592537,0.0,0.0,0.005918437878002419,0.0,0.0002592016588906169,0.0,0.00017280110592707794,0.0,0.0002160013824088474,0.0,0.0,0.00012960082944530845,4.3200276481769485e-05,0.0,0.0,0.001987212718161396,0.0,0.0,0.0028080179713150166,0.0,0.0,0.006523241748747192,0.024969759806462762,0.04743390357698289,0.0,0.0,0.0,0.0029376188007603247,0.0,0.0060480387074477275,0.0,0.006220839813374806,0.016761707274926558,0.0025488163124243995,0.00017280110592707794,0.021254536029030584,0.012960082944530845,0.006307240366338345,0.0,0.02086573354069466,0.0,0.0,0.0,0.0,0.0009072058061171591,0.0,0.0,0.0,0.0,0.0006912044237083118,0.00012960082944530845,0.0,0.0,0.0012960082944530845,0.0,0.0,0.0,0.00673924313115604,0.0,0.008899256955244513,0.0,0.0006480041472265422,0.0,0.0,0.0,0.0332642128909625,0.00017280110592707794,0.09063418005875237,0.00933125972006221,0.0,0.0,0.0002592016588906169,0.0,0.0003456022118541559,0.0,0.00047520304129946433,4.3200276481769485e-05,0.0,4.3200276481769485e-05,0.0,0.0,0.0,0.0,0.0,0.00030240193537238636,0.007689649213754968,0.0,0.0,0.0,0.0009072058061171591,0.0,0.00168481078278901,0.0005616035942630033,0.0,8.640055296353897e-05,0.0,0.0,4.3200276481769485e-05,0.00017280110592707794,0.0,0.0,0.00017280110592707794,0.0006048038707447727,0.0,0.0,0.0,0.0,0.0,0.0,0.002764817694833247,0.0
G0g_T8h_D1_R3,culture,1,0g,8h,3,27396,0.507227332457293,0.0,0.041283399036355674,0.014600671630895021,0.05310994305738064,0.011571032267484304,0.0167177690173748,0.002956636005256242,0.00343115783326033,0.0,0.0,0.0033946561541830923,0.0,0.0,0.0,0.0,3.650167907723755e-05,0.0,0.0006935319024675135,0.0,0.0,0.0,0.0,0.0,0.0013505621258577895,0.0,0.0,0.006132282084975909,0.0,0.0,0.0016060738793984522,0.02912833990363557,0.051211855745364285,0.0,0.002518615856329391,0.0,0.004562709884654694,3.650167907723755e-05,0.006570302233902759,0.0,0.002701124251715579,0.031245437290115346,0.006387793838516571,0.0005475251861585633,0.009709446634545189,0.013067601109651043,0.0028471309680245293,0.0,0.012775587677033143,0.0,0.0,0.0,0.0,0.000328515111695138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.30033581544751e-05,0.0,0.0,0.0,0.0016790772375529274,0.0,0.012702584318878668,0.0,0.0005110235070813257,0.00025551175354066285,0.0,3.650167907723755e-05,0.031354942327347056,0.0,0.08800554825521974,0.005584756898817346,0.0,0.0,0.0002190100744634253,0.0005840268652358008,0.00040151846984961306,0.0,3.650167907723755e-05,3.650167907723755e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020075923492480652,0.0,0.0,0.0,0.0020075923492480652,0.0010220470141626514,0.005876770331435246,0.0005110235070813257,0.0012045554095488392,0.0011680537304716017,0.0,0.0,0.0007665352606219887,0.00178858227478464,0.0,0.0,0.0,0.002372609140020441,0.0,0.0,0.00018250839538618777,0.0,0.0,0.0,0.0018615856329391152,0.0
G0g_T16h_D1_R1,culture,1,0g,16h,1,23502,0.4400051059484299,0.0,0.010765041273083142,0.014381754744277083,0.0619096247127904,0.004340056165432729,0.006424985107650413,0.00034039656199472384,0.00263807335545911,0.0,0.0,0.006297336396902391,0.0,0.0,0.0,0.0,4.254957024934048e-05,0.0,0.0002552974214960429,0.0,0.0007233426942387882,0.0,0.0,0.0,4.254957024934048e-05,0.0,0.0,0.00531869628116756,0.0,0.0,0.006382435537401072,0.01846651348821377,0.04620883329078376,0.0,0.0,0.0,0.0017019828099736193,0.0037869117521913027,0.0075738235043826055,0.0,0.001404135818228236,0.02710407624882989,0.004467704876180751,0.00034039656199472384,0.02910390605054889,0.02931665390179559,0.006084588545655689,0.0,0.038379712364905116,0.0,0.0002552974214960429,0.0,0.0,0.00017019828099736192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018296315207216407,0.0,0.0,0.0,0.0016168836694749383,0.0,0.009360905454854906,0.0,0.0,0.0,0.0,0.0011062888264828526,0.049102204067738915,0.0,0.13428644370691856,0.018338864777465748,0.0,0.0,0.0,8.509914049868096e-05,0.0025529742149604288,0.0,0.0,0.00012764871074802145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.254957024934048e-05,0.00021274785124670241,0.0,0.0,0.0,0.0,4.254957024934048e-05,0.0012764871074802144,0.0,0.0005105948429920858,0.0,0.0,0.0,0.0008935409752361502,4.254957024934048e-05,0.0,0.0,0.0,0.0036592630414432814,0.0,0.0,0.0,0.0,0.0,0.0,0.0006807931239894477,0.0
G0g_T16h_D1_R2,culture,1,0g,16h,2,20182,0.46303636904172035,0.0,0.034238430284411855,0.004063026459221088,0.05311663858884154,0.00356753542760876,0.005004459419284511,0.002081062332771777,0.00034684372212862946,0.0,0.0,0.0016846695074819145,0.0,0.0,0.0,4.954910316123278e-05,0.000445941928451095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014369239916757507,0.0,0.0,0.0026756515707065704,0.0,0.0,0.009761173322762858,0.020364681399266674,0.04345456347240115,0.0,0.0,0.0,0.00039639282528986224,9.909820632246556e-05,0.005648597760380537,0.0,0.0008423347537409573,0.020067386780299276,0.0042116737687047864,0.0002477455158061639,0.022346645525715983,0.04053116638588842,0.00659003072044396,0.0007432365474184917,0.026211475572292142,0.001585571301159449,9.909820632246556e-05,0.0,0.0,9.909820632246556e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034684372212862946,0.0,0.0,0.0,0.0,0.006193637895154098,0.0,0.011495391933406006,0.0,0.0,0.0,0.0,0.0,0.05361212962045387,0.0,0.11822416014270141,0.014815181845208601,0.0,0.0,0.0,4.954910316123278e-05,0.00019819641264493112,0.0,0.00019819641264493112,0.0,0.0,0.0023288078485779406,0.0,0.0,0.0,0.0,0.0,0.0,0.0018828659201268457,0.0,0.0,0.0,0.0,9.909820632246556e-05,0.005450401347735606,0.0002477455158061639,0.0007432365474184917,0.0,0.0,0.0,0.0,9.909820632246556e-05,0.0,0.0,4.954910316123278e-05,0.006144088791992865,0.0,0.0,0.0,0.0,0.0,0.0,0.0027747497770290357,0.0
G0g_T16h_D1_R3,culture,1,0g,16h,3,23111,0.4870840725195794,0.0,0.01436545368006577,0.009346198779801826,0.07481285967720999,0.0021202025009735624,0.006317338064125308,0.0028557829604950024,0.0015144303578382588,0.0,0.0,0.00043269438795378825,0.0,0.00073558045952144,0.0,0.0,0.0,0.0,0.0,0.0,0.001990394184587426,0.0,0.0,0.0,0.0,0.0,0.0,0.002033663623382805,0.0,0.0,0.005754835359785384,0.016226039548267058,0.03894249491584094,0.0,0.0,0.0,0.0026394357665181084,0.0,0.013846220414521224,0.0,0.001947124745792047,0.014451992557656527,0.00047596382674916705,0.001730777551815153,0.00917312102462031,0.024187616286616764,0.004326943879537882,0.00021634719397689412,0.02873090736013154,0.0,0.00021634719397689412,0.0,0.0,0.00043269438795378825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047596382674916705,0.0,0.0,0.0,0.0022932802561550776,0.0,0.01717796720176539,0.00030288607156765175,4.3269438795378825e-05,0.0,0.0,0.0,0.050668512829388605,0.00025961663277227295,0.12639003072130153,0.02760590195145169,0.0,0.0,0.0,0.0,0.00021634719397689412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001730777551815153,0.0009086582147029553,0.0,0.0,0.0,0.0009086582147029553,0.00030288607156765175,0.00025961663277227295,0.0005625027043399247,0.00012980831638613647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020769330621781836,0.0,0.0,0.0,0.0,0.0,0.0,0.0023365496949504564,0.0
G0g_T24h_D1_R1,culture,1,0g,24h,1,25326,0.3110637289741767,0.0,0.000908157624575535,0.005962252230908948,0.0328121298270552,0.003514175155966201,0.00019742557055989893,0.0004343362552317776,0.00023691068467187872,0.0,0.0,0.0007897022822395957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011845534233593936,0.0,0.0,0.0009476427386875149,0.0,0.0,0.0024480770749427468,0.01105583195135434,0.02155887230514096,0.0005922767116796967,0.0,0.0,0.0016188896785911712,0.0004343362552317776,0.00023691068467187872,0.0,0.0039090262970859985,0.008528784648187633,0.00035536602700781805,0.00023691068467187872,0.023059306641396195,0.06341309326383954,0.011332227750138198,0.0,0.07897022822395956,0.0003158809128958383,0.002803443101950565,0.0,0.0,0.0006317618257916766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003158809128958383,0.0,0.0,0.0,0.0018558003632630497,0.0,0.04059069730711522,0.0,0.00931848693042723,3.9485114111979786e-05,0.0,3.9485114111979786e-05,0.05946458185264156,0.0,0.26478717523493644,0.02523098791755508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003158809128958383,0.0,0.0,0.0,0.0,0.0,3.9485114111979786e-05,0.0,0.007028350311932402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000552791597567717,0.0,0.0,0.0,0.0,0.0,0.0,0.0019347705914870095,0.0
