from_taxon,Bacteroides,Prevotella,Faecalibacterium,Roseburia,Blautia,Agathobacter,Subdoligranulum,Ruminococcus,Ruminococcus_gnavus_group,Ruminococcaceae_UCG-002,Ruminococcaceae_UCG-005,Ruminococcaceae_NK4A214_group,Lachnospira,Lachnospiraceae_NK4A136_group,Lachnospiraceae_UCG-001,Lachnospiraceae_UCG-004,Lachnoclostridium,Eubacterium_hallii_group,Eubacterium_eligens_group,Eubacterium_coprostanoligenes_group,Coprococcus,Anaerostipes,Dorea,Fusicatenibacter,Butyricicoccus,Christensenellaceae_R-7_group,Oscillibacter,Dialister,Veillonella,Megamonas,Phascolarctobacterium,Parabacteroides,Alistipes,Barnesiella,Odoribacter,Butyricimonas,Bilophila,Desulfovibrio,Sutterella,Parasutterella,Akkermansia,Bifidobacterium,Collinsella,Eggerthella,Enterococcus,Streptococcus,Lactobacillus,Enterobacter,Escherichia_Shigella,Klebsiella,Citrobacter,Clostridium_sensu_stricto_1,Clostridioides,Peptostreptococcus,Finegoldia,Paraprevotella,Romboutsia,Turicibacter,Holdemanella,Intestinibacter,Catenibacterium,Anaerotruncus,Parvimonas,Fusobacterium,Haemophilus,Campylobacter,Helicobacter,Methanobrevibacter,Anaerococcus,Porphyromonas,Alloprevotella,Granulicatella,Actinomyces,Bacillus,Staphylococcus,Corynebacterium,Pseudomonas,Acinetobacter,Enterocloster,Flavonifractor,Butyrivibrio,Clostridiales_vadinBB60_group,Family_XIII_AD3011_group,Monoglobus,Bacteroidetes_unclassified,Firmicutes_unclassified,Lachnospiraceae_unclassified,Ruminococcaceae_unclassified,Bacteroidales_unclassified,Proteobacteria_unclassified,Actinobacteria_unclassified,Verrucomicrobia_unclassified,Erysipelotrichaceae_UCG-003,Erysipelotrichaceae_UCG-006,Erysipelatoclostridium,Senegalimassilia,Slackia,Gordonibacter,Anaerobutyricum,Coprobacter,Murimonas,Anaerofustis,Pseudoflavonifractor,Oscillospira,Anaeroplasma,UCG-010,UCG-014,UCG-003,UCG-009,UCG-013,UCG-007,Rikenellaceae_RC9_gut_group,Candidatus_Saccharimonas,Mitsuokella,Succinivibrio,Succiniclasticum,Victivallis,Anaerovorax,Howardella,Butyricimonas_group
Bacteroides,-0.00800083,-0.01542994,0.04711621,0.01615356,0.03316754,0.01498381,0.01780541,0.02892139,0.00110662,0.00079150,0.00134456,0.00206369,0.00156200,0.00051025,0.00020678,0.00014582,0.00004253,0.00330694,0.00024963,0.00008450,0.00082416,0.00405869,-0.00018237,-0.00000473,0.00041167,0.00706576,0.00163029,-0.00263967,-0.00593696,-0.00155257,-0.00324850,0.00745207,0.00692469,-0.00004444,0.00104142,0.00023809,0.00241063,0.00017619,0.00395333,0.00487956,0.00830571,0.00349870,-0.00000043,-0.00086375,-0.01653189,-0.01854997,-0.00254685,-0.00201147,-0.01692960,0.00041443,-0.00067800,0.00026479,0.00003425,0.00155160,0.00051330,-0.00142963,0.00069046,0.00048472,0.00019711,0.00112674,-0.00012752,0.00024669,0.00028791,0.00091820,-0.01313227,0.00074921,-0.00000306,0.00597087,-0.01244902,-0.00538212,0.00116523,-0.00125280,-0.00066825,-0.00065992,-0.06710383,-0.00029078,-0.04253221,-0.02525810,0.00006566,0.00070148,0.00127926,0.00034534,0.00028514,0.00000000,0.00004435,0.00097083,-0.00000572,0.00027559,0.00037415,0.00041526,0.00042236,0.00152347,-0.00001362,0.00134906,0.00078664,0.00149725,0.00062965,-0.00003582,0.00336860,0.00030395,0.00006193,-0.00025610,0.00165095,0.00048864,0.00181600,0.00015076,0.00107041,0.00012510,0.00003709,0.00012980,0.00026691,0.00202606,0.00000087,-0.00029433,-0.00563422,0.00000000,0.00001993,0.00009862,0.00084136,0.00034359
Prevotella,0.03125202,0.08557715,0.02642041,0.02677229,-0.03736604,-0.00663675,0.01285674,0.00144878,0.00003928,0.00166307,0.00095482,0.00000485,-0.00562833,-0.00124373,-0.00362049,-0.00028456,-0.00213852,0.01794362,-0.00155146,0.00002644,0.00196562,-0.00338314,0.00019516,0.00000021,0.00144478,0.01674957,0.00119766,0.02564444,0.01537035,0.01773820,0.01096323,-0.00982406,-0.01942155,0.00001328,0.00210043,0.00240975,0.00568664,0.00009195,-0.00794113,-0.01108612,0.02002064,-0.00076313,0.00195157,0.00143771,-0.01784158,-0.00277415,-0.01381862,0.00172935,-0.08869751,-0.00079439,-0.01618465,0.00034241,-0.00018241,0.00335664,0.00126484,0.00346938,-0.00021888,0.00199201,0.00059363,0.00107922,-0.00442508,0.00184473,0.00009569,0.00060619,-0.03702927,0.00013209,0.00177427,0.00503395,0.00426316,-0.00098829,0.00045239,0.00064839,0.00197572,0.00044980,-0.09314916,-0.01794067,-0.02978145,0.00841960,0.00069803,0.00039195,0.00081086,0.00012196,0.00000000,0.00000000,0.00018422,-0.00592299,0.00005446,0.00000000,0.00135380,0.00107850,0.00376851,0.00461433,0.00013860,0.00026010,0.00089362,0.00417704,-0.00294618,0.00016518,-0.01128956,0.00023545,0.00088446,-0.00152481,-0.00306965,0.00082989,-0.00081995,0.00078858,0.00175560,0.00001629,0.00044208,-0.00044354,0.00015212,0.00213333,-0.00071328,0.00045368,0.00138462,0.00000000,0.00011961,0.00057554,0.00170654,0.00152652
Faecalibacterium,0.03039830,0.03787908,0.05937294,0.04855834,0.02644230,0.02129104,0.03448850,0.05292673,-0.00136129,0.00406405,0.00113011,-0.00146375,0.00422820,0.00062024,0.00052149,-0.00029389,0.00051179,0.01020319,0.00046892,0.00073214,0.00176022,0.00953637,0.00021238,-0.00000386,0.00141426,0.01395857,0.00866152,0.01027630,-0.01343827,0.00004145,-0.02284858,-0.01098711,-0.01806856,-0.00000532,0.00067314,-0.00173964,0.00675247,-0.00225519,0.00275750,0.01370664,0.02199310,-0.00940031,-0.00255078,-0.00093419,-0.05393789,-0.05856483,-0.01109633,0.00682651,-0.05381789,-0.00115273,0.00778872,-0.00006167,0.00000995,0.00037501,0.00248752,0.00073644,0.00097032,0.00004862,0.00097706,0.00071311,0.00156622,0.00136791,-0.00011736,0.00202245,-0.02293901,0.00417373,0.00050544,0.01746390,-0.01785256,-0.00509323,0.00103482,-0.00168246,-0.00056502,-0.00121482,-0.13639053,-0.00532689,-0.11964278,-0.06116011,0.00113810,0.00083857,0.00310142,-0.00046160,-0.00120968,0.00000000,0.00059904,0.00192393,0.00002499,-0.00030161,0.00040487,0.00064458,0.00084559,0.00555924,-0.00004108,0.00317684,0.00076009,0.00447293,0.00032761,-0.00001283,0.00779618,-0.00035047,0.00175029,0.00045878,0.00310187,0.00072019,0.00151219,0.00101875,0.00408610,0.00020864,0.00004254,-0.00080539,0.00024603,0.00376369,-0.00007945,-0.00031978,-0.00500170,0.00000000,0.00005963,0.00064653,0.00006823,0.00103663
Roseburia,-0.01599102,-0.06474758,0.07018666,-0.02865221,0.04820692,0.02264557,0.02984721,0.04760923,0.00151699,0.00165446,0.00661243,0.00780632,0.00098548,0.00320086,0.00168826,0.00019143,0.00254630,0.00063895,-0.00017906,0.00034846,0.00222271,0.01064063,0.00006453,-0.00001738,0.00135527,0.00477201,0.00136528,0.02507021,0.02359965,0.02574476,-0.00697000,0.01177913,0.01823692,-0.00005467,-0.00234505,-0.00247866,0.00282522,0.00152334,0.01504785,0.00584779,0.01500071,0.01168240,0.00757133,0.00078015,-0.05353934,-0.04587974,-0.00992563,-0.01095048,-0.03651045,0.00149012,-0.01190513,0.00095514,0.00019517,0.00156548,0.00368072,-0.00509846,0.00004918,0.00049306,0.00081469,-0.00010558,0.00109167,0.00057766,0.00064917,0.00132077,0.01335285,-0.00439016,0.00330500,0.00261072,-0.00794727,-0.00100543,0.00252018,0.00410842,0.00015799,-0.00015371,-0.08249895,0.00580928,-0.15328998,-0.07632279,0.00133699,0.00076040,-0.00035138,0.00107770,0.00274242,0.00000000,-0.00228299,0.00074092,0.00048377,0.00195787,0.00129196,-0.00037251,0.00113284,0.00055258,-0.00023079,0.00013097,-0.00145728,0.00405781,0.00072054,0.00020313,0.00911825,0.00119000,0.00287233,0.00237740,0.00249391,0.00226448,0.00217765,0.00024225,0.00963343,0.00157909,0.00006981,0.00204699,0.00072258,0.00396491,0.00212839,-0.00008478,-0.01995784,0.00000000,-0.00003348,-0.00092004,0.00195649,0.00180670
Blautia,0.00143963,0.02052891,0.06236428,0.02095560,-0.02605118,0.01811015,0.02236239,0.03125303,0.00014678,0.00349049,0.00007952,-0.00022741,0.00121031,0.00079778,0.00078385,-0.00005183,0.00189217,0.00623160,0.00007784,-0.00003893,0.00083700,0.00559075,0.00020149,0.00000156,0.00058656,0.00703067,0.00332256,0.00240293,-0.00879714,-0.00388664,-0.00326361,0.00034995,-0.00435553,0.00013255,0.00025409,0.00023756,0.00298140,0.00015672,0.00285544,0.00354200,0.01282681,0.00018125,0.00005191,-0.00016846,-0.01889874,-0.02134748,-0.00964621,0.00018183,-0.03039271,-0.00204918,-0.00585775,0.00079205,0.00000481,-0.00027114,0.00093512,-0.00074465,0.00067708,-0.00025859,0.00052202,-0.00019909,0.00142191,0.00052776,-0.00034669,0.00132729,-0.01032940,0.00038779,0.00117944,0.00768931,-0.01025402,-0.00225333,0.00098794,-0.00075518,0.00028890,0.00083804,-0.06874543,-0.00390442,-0.05435883,-0.02738872,0.00026304,-0.00020880,0.00087565,0.00022163,-0.00033596,0.00000000,-0.00017957,0.00075155,0.00001978,0.00041891,0.00041862,0.00032047,0.00123438,0.00272553,0.00002837,0.00150229,-0.00030694,0.00090457,-0.00038107,0.00009611,0.00386863,0.00021848,0.00100927,0.00071817,0.00234862,0.00074190,0.00108513,0.00036165,0.00428139,-0.00000455,0.00003436,0.00077751,-0.00000269,0.00195433,0.00006530,0.00023336,0.00107086,0.00000000,0.00001998,-0.00016247,0.00022691,-0.00013397
Agathobacter,-0.05328630,0.00399910,0.05939409,0.03455567,0.01429781,-0.00270113,0.02557592,0.03633304,-0.00209519,0.00276070,0.00000000,0.00053584,0.00223623,0.00001758,-0.00020384,-0.00002553,0.00168438,0.00797609,0.00035555,0.00004321,0.00065872,0.00434623,0.00000000,0.00000000,0.00035652,0.01331379,0.00157748,0.00037378,0.00051598,-0.00091375,-0.00530575,-0.01544427,-0.01750698,0.00025356,-0.00144758,0.00002081,0.00379239,0.00066655,0.00070782,0.00347354,0.00797727,-0.00311980,0.00069893,-0.00193472,-0.01830919,-0.02715394,-0.00081658,0.00517587,-0.03817253,-0.00070768,0.00220836,0.00007061,0.00000753,0.00144992,0.00099387,0.00117233,0.00162262,0.00164455,0.00097740,-0.00000107,0.00178461,-0.00014459,0.00051732,0.00119710,0.00115123,0.00389063,-0.00582397,0.01442305,-0.01976577,-0.00110808,0.00129444,-0.00015831,-0.00134534,0.00072111,-0.08087369,-0.00063587,-0.07412391,-0.00770901,0.00004042,0.00000000,0.00189799,0.00039468,0.00120393,0.00000000,-0.00046533,0.00081239,0.00002599,-0.00022007,0.00015817,0.00010121,0.00106792,0.00449248,0.00000431,0.00321081,0.00066135,0.00539537,-0.00006235,0.00007969,0.00780354,0.00143238,-0.00167187,0.00031491,0.00112818,-0.00028861,0.00117616,0.00126475,0.00462043,-0.00007418,0.00003954,-0.00027480,0.00035283,-0.00010682,-0.00016142,0.00003504,0.00052039,0.00000000,-0.00003289,0.00031635,-0.00229498,0.00142603
Subdoligranulum,-0.05224367,0.00718929,0.04611537,0.02162868,0.02192446,0.02173259,0.00896668,0.03385106,0.00337782,0.00366825,0.00000000,0.00172271,0.00462696,0.00132590,0.00276039,0.00023374,0.00350457,0.00376344,-0.00021199,-0.00002069,0.00128796,0.01138628,0.00000000,0.00000000,0.00137392,0.00815690,0.00328636,0.00689552,0.00013050,0.00164402,-0.01315259,-0.00189008,0.00461349,0.00007942,-0.00057349,0.00000622,0.00132208,-0.00345634,0.01073362,0.00053316,0.00560179,-0.00178063,0.00632923,0.00156671,-0.03250806,-0.03976109,0.00724366,-0.01356471,-0.01996274,-0.00169146,-0.01667073,0.00011384,0.00003403,0.00110691,0.00092807,0.00107991,0.00135532,0.00144973,0.00158828,0.00124416,-0.00048504,-0.00002665,-0.00082681,0.00030140,0.00024395,0.00236207,-0.00278825,0.00941896,0.00113185,-0.00209001,0.00407859,0.00044997,0.00150829,-0.00394603,-0.10123729,0.00151656,-0.08785447,-0.02933040,-0.00013175,0.00000000,0.00469904,0.00156079,-0.00077257,0.00000000,0.00020898,-0.00005005,-0.00001382,0.00056863,0.00001438,-0.00015889,0.00068716,0.00366223,0.00001790,-0.00081942,0.00183096,0.00182130,0.00181929,0.00002135,0.00291692,-0.00094182,0.00047035,0.00043139,0.00007164,0.00001801,0.00041086,0.00088354,0.00734829,0.00071577,0.00003177,0.00075121,0.00047905,-0.00260685,0.00049479,0.00008133,0.00060066,0.00000000,0.00005534,0.00075613,0.00080603,0.00181785
Ruminococcus,-0.12275226,-0.04696631,0.05100980,0.03986478,0.02971683,0.02695272,0.02982966,0.01698832,0.00524244,0.00280472,-0.00435078,-0.00029463,0.00048514,-0.00204752,-0.00061279,-0.00023917,0.00239715,0.01318129,0.00003763,0.00122441,0.00253648,0.00851814,0.00088714,0.00000745,0.00075952,0.01126142,0.00547337,0.01265936,-0.00411023,0.01663326,-0.00735345,-0.00550115,-0.02480900,-0.00013584,0.00259103,0.00137255,0.00197611,-0.00134930,-0.00205447,-0.00293044,0.01490602,0.00142427,-0.00231687,-0.00098645,-0.01984474,-0.05145747,0.01039199,-0.00459810,-0.04946897,-0.00423750,-0.02474871,0.00043239,0.00026462,0.00136977,0.00008737,-0.01232572,0.00154487,0.00164201,0.00010615,0.00173528,-0.00119050,0.00566710,-0.00015300,0.00281615,0.01220334,-0.00779300,-0.00912664,0.00831272,0.00411716,0.00575269,0.00007227,0.00536060,0.00012898,-0.00237648,-0.03353743,-0.00916931,-0.07810908,0.04329598,0.00042393,0.00473809,0.00362834,0.00101507,0.00187999,0.00000000,-0.00140015,0.00035098,-0.00029536,-0.00086598,0.00142361,0.00011086,-0.00037527,0.00513920,0.00029032,0.00216863,0.00124062,0.00147896,-0.00068500,0.00012010,0.00580947,-0.00034657,0.00056131,0.00063351,0.00001155,-0.00017059,0.00443992,0.00055644,0.00514594,0.00035858,0.00000396,-0.00138469,0.00086592,-0.00971262,0.00101556,0.00034745,0.01508763,0.00000000,0.00000198,-0.00035185,-0.00454760,0.00492274
Ruminococcus_gnavus_group,0.02251355,0.00000000,0.01723084,0.01388696,-0.00701807,0.00332178,0.00789680,0.00551224,-0.01227962,-0.00007423,0.00000000,0.00275172,-0.00001873,0.00448758,0.00000000,-0.00036850,0.00083329,0.00038693,0.00026693,0.00000000,-0.00011472,-0.00272975,0.00000000,0.00000000,-0.00023132,0.00000000,-0.00047155,-0.00592396,-0.00004740,0.00009155,-0.00726188,-0.00200149,0.00073638,0.00006357,0.00017086,0.00000000,0.00370431,-0.00140406,0.01458667,-0.00001526,-0.00077062,-0.00339301,-0.00295474,-0.00209813,-0.02784207,-0.02183670,-0.00186515,-0.00045378,0.00328035,0.00011193,-0.00126024,0.00000000,0.00000000,0.00092407,0.00047372,0.00000000,0.00001831,0.00097839,-0.00120108,-0.00080274,0.00000860,-0.00004727,0.00147697,0.00004620,-0.00031103,0.00000079,0.00176673,-0.00007087,-0.00695077,0.00061951,-0.00302929,0.00013853,-0.00023777,0.00081341,-0.04218769,-0.00008867,-0.06563401,-0.00987986,0.00000000,0.00000000,-0.00085334,0.00267806,0.00006525,0.00000000,-0.00018764,0.00049532,0.00032432,0.00082314,0.00053011,0.00000000,0.00141028,0.00000079,0.00001071,0.00021936,-0.00081222,-0.00006524,0.00001185,0.00000000,-0.00056901,0.00123372,-0.00196781,0.00115295,0.00316135,-0.00000446,0.00008690,0.00000000,-0.00231337,-0.00232599,0.00000000,0.00000000,-0.00055237,0.00299810,0.00000000,0.00000000,0.00115104,0.00000000,0.00000000,-0.00000816,-0.00317595,0.00000000
Ruminococcaceae_UCG-002,0.06801031,-0.00305568,0.01853821,0.00596338,-0.00709952,0.00401029,0.00876701,0.01536811,0.00000000,-0.00572066,-0.00001717,0.00000000,0.00188969,0.00038649,-0.00212860,-0.00011082,0.00042138,-0.00301827,-0.00033497,0.00000827,0.00073756,0.00253258,0.00000000,0.00000000,0.00027029,0.00358424,0.00091371,-0.00940279,0.00102518,-0.00254320,-0.00129913,-0.00885208,-0.00596864,-0.00082809,-0.00162951,-0.00034116,0.00337435,0.00009386,-0.01218851,-0.00765677,0.00878811,-0.00092285,-0.00222373,0.00021284,-0.01271853,-0.02222249,-0.00311620,-0.01547211,0.00781356,0.00167090,-0.03709384,-0.00003962,0.00000000,-0.00438207,-0.00055661,-0.00099403,0.00109347,0.00038159,-0.00179615,-0.00171522,0.00474098,-0.00003012,0.00000504,-0.00313114,-0.01112047,-0.00424530,-0.00142356,-0.01559698,0.00029190,-0.00929077,-0.00055952,-0.00042917,0.00233397,0.00086311,-0.06987156,-0.00464346,-0.00237672,-0.00034158,-0.00035696,-0.00000601,-0.00206329,-0.00000043,0.00000000,0.00000000,0.00000000,-0.00335983,0.00011054,0.00000000,-0.00004046,-0.00058679,-0.00171450,0.00216791,0.00002464,0.00026162,-0.00000215,-0.00581645,0.00003428,-0.00006722,-0.00768168,-0.00252485,0.00036511,0.00216948,0.00374932,0.00001456,-0.00925189,0.00064413,0.00322242,0.00000000,0.00023813,0.00043221,-0.00028289,0.01348840,0.00489742,0.00009458,-0.00113852,0.00000000,0.00000630,-0.00203455,0.00019685,0.00026441
